Num;Grup;Alt;Germans;Dist;Gen;Edat;Ulls;Origen
1;Gr20;170;0;36;Dona;19;Verds;La Garriga
2;Gr20;185;1;15;Home;19;Marrons;Sant Cugat del Vallès
3;Gr10;169;2;19;Dona;20;Verds;Barcelona
4;Gr10;171;2;7;Dona;19;Marrons;Barcelona
5;Gr20;189;2;40;Home;19;Marrons;Arenys de Mar
6;Gr10;170;2;15;Home;19;Marrons;Igualada
7;Gr10;174;1;10;Home;19;Marrons;Hospitalet de Llobregat
8;Gr10;179;0;40;Home;19;Marrons;Mataró
9;Gr10;170;3;52;Home;23;Marrons;Canet de Mar
10;Gr10;184;2;2;Home;19;Marrons;Barcelona
11;Gr20;193;0;10;Home;19;Marrons;Barcelona
12;Gr10;160;1;5;Dona;19;Blaus;Barcelona
13;Gr20;200;1;60;Home;19;Marrons;Sant Fruitós de Bages
14;Gr10;177;1;1;Home;20;Marrons;Sant Quirze de Besora
15;Gr20;180;1;20;Home;18;Blaus;Santa Perpètua de Mogoda
16;Gr10;169;1;19;Dona;19;Verds;Gavà
17;Gr10;166;0;2;Dona;19;Verds;Albatàrrec
18;Gr10;175;1;7;Home;23;Marrons;Cambrils
19;Gr10;180;2;2;Home;20;Marrons;Lleida
20;Gr10;163;1;117;Dona;19;Marrons;Sant Joan de les Abadesses
21;Gr10;169;1;7;Dona;19;Marrons;Barcelona
22;Gr20;180;3;6;Home;20;Marrons;Lleida
23;Gr10;180;1;10;Home;22;Marrons;Barcelona
24;Gr10;184;1;4;Home;19;Marrons;Olot
25;Gr20;180;1;2;Home;19;Avellana;Barcelona
26;Gr10;165;2;12;Home;18;Marrons;El Prat de Llobregat
27;Gr20;180;1;40;Home;21;Marrons;Matadepera
28;Gr10;173;1;3;Dona;18;Marrons;Sant Pol de Mar
29;Gr10;195;6;40;Home;19;Marrons;Mataró
30;Gr10;187;2;2;Home;18;Marrons;Girona
31;Gr10;168;1;2;Dona;19;Marrons;Lleida
32;Gr10;178;3;-3;Prefereixo no contestar;18;Verds;Lleide
33;Gr10;159;1;32;Dona;19;Verds;Londres
34;Gr10;175;1;3;Home;19;Marrons;Palma
35;Gr10;176;1;8;Home;20;Marrons;Buenos Aires
36;Gr10;170;1;20;Home;19;Marrons;Rubí
37;Gr20;177;0;20;Home;21;Blaus;Sabadell
38;Gr10;NA;0;7;Home;19;Marrons;Barcelona
39;Gr20;170;1;42;Home;19;Verds;Castellolí
40;Gr10;180;1;33;Home;18;Marrons;Mataró
41;Gr20;180;1;20;Home;18;Marrons;Tiana
42;Gr10;182;1;6;Home;20;Marrons;L’Hospitalet de Llobregat
43;Gr10;190;0;5;Home;20;Marrons;Ordino
44;Gr20;176;1;50;Home;19;Marrons;Qingtian
45;Gr10;175;0;4;Home;19;Marrons;Barcelona
46;Gr10;177;3;9;Home;20;Negres;Morroco
47;Gr20;166;3;2;Home;18;Verds;Barcelona
48;Gr20;183;1;5;Home;19;Marrons;Barcelona
49;Gr20;165;3;25;Dona;19;Marrons;Sabadell
50;Gr20;184;1;8;Home;19;Marrons;Maó
51;Gr20;177;1;7;Home;19;Marrons;Barcelona
52;Gr20;182;1;2;Home;19;Verds;Barcelona
53;Gr20;179;2;40;Home;21;Avellana;Mataró
54;Gr10;165;1;3;Dona;21;Verds;Barcelona
55;Gr10;170;4;19;Dona;18;Marrons;Santo domingo
56;Gr10;177;0;9;Home;19;Verds;Barcelona
57;Gr10;177;1;6;Home;18;Marrons;Barcelona
58;Gr20;180;2;9;Home;19;Marrons;barcelona
59;Gr10;180;1;113;Home;19;Marrons;Calonge
60;Gr20;185;1;2;Home;19;Verds;Barcelona
61;Gr20;180;2;20;Home;20;Blaus;barcelona
62;Gr10;163;2;11;Dona;20;Marrons;Cornella de Llobregat
63;Gr10;185;1;25;Home;20;Verds;Terrassa
64;Gr10;171;1;10;Home;19;Marrons;Barcelona
65;Gr20;179;1;9;Home;20;Negres;Barcelona
66;Gr10;176;1;5;Home;19;Marrons;Ripoll
67;Gr20;179;1;17;Home;19;Marrons;Montcada i Reixach
68;Gr10;184;0;4;Home;19;Marrons;Banyoles
69;Gr10;181;2;25;Home;18;Marrons;Teià
70;Gr20;180;1;25;Home;19;Marrons;Olesa de Montserrat
71;Gr20;161;1;40;Dona;21;Marrons;Alella
72;Gr10;178;2;100;Home;18;Preciosos;Girona
73;Gr20;185;1;6;Home;18;Marrons;Cuba
74;Gr20;175;1;29;Home;19;Marrons;Sant Cugat del Vallès
75;Gr10;149;0;8;Dona;20;Marrons;Barcelona
76;Gr10;175;2;10;Home;20;Verds;Barcelona
77;Gr10;169;1;5;Dona;20;Blaus;Hospitalet de Llobregat
78;Gr10;170;1;55;Home;20;Marrons;La Torre de Claramunt
79;Gr10;163;2;3;Dona;19;Marrons;Lleida
80;Gr20;173;1;25;Home;19;Verds;Terrassa
81;Gr20;165;2;3;Dona;19;Marrons;Ferreries (Menorca)
82;Gr10;166;1;40;Dona;21;Marrons;NA
83;Gr10;160;0;6;Dona;23;Verds;Cornellà de Llobregat
84;Gr10;165;2;2;Dona;19;Verds;Cambrils
85;Gr20;175;1;10;Home;21;Marrons;Barcelona
86;Gr10;180;1;4;Home;22;Avellana;Matamala de Almazán/ Soria
87;Gr10;164;2;5;Dona;19;Marrons;Barcelona
88;Gr10;180;2;100;Home;19;Marrons;Tarragona
89;Gr10;183;1;30;Prefereixo no contestar;21;Blaus;Barcelona
90;Gr20;180;1;40;Home;18;Verds;Caldes de Montbui
91;Gr10;173;0;9;Home;20;Marrons;Sant Cugat del Valles
92;Gr10;184;1;2;Home;19;Marrons;Barcelona
93;Gr10;163;2;12;Dona;19;Marrons;Santa Coloma de Gramenet
94;Gr20;172;1;10;Home;19;Marrons;Barcelona
95;Gr10;173;2;20;Home;20;Marrons;Gavà
96;Gr10;175;1;7;Dona;19;Verds;Barcelona
97;Gr10;170;2;10;Home;24;Verds;Hospitalet del Llobregat
98;Gr20;160;2;40;Dona;19;Blaus;Barcelona
99;Gr20;168;2;28;Dona;20;Marrons;Sabadell
100;Gr10;173;1;9;Home;19;Marrons;Barcelona
101;Gr10;175;1;4;Dona;20;Marrons;Vitoria
102;Gr10;179;4;40;Home;20;Verds;Pallejà
103;Gr20;189;1;1;Home;20;Marrons;Lleida
104;Gr20;182;1;6;Home;19;Verds;Barcelona
105;Gr10;156;5;2;Dona;21;Avellana;Honduras
106;Gr10;175;2;8;Dona;18;Marrons;Barcelona
107;Gr20;165;3;8;Dona;18;Marrons;Barcelona
108;Gr10;172;1;42;Home;20;Marrons;Badalona
109;Gr10;190;1;30;Home;24;Marrons;Montcada
110;Gr20;168;1;16;Dona;19;Verds;Bilbao
111;Gr10;157;2;13;Dona;19;Verds;Ciutadella de Menorca
112;Gr20;183;1;10;Home;19;Avellana;Barcelona
113;Gr10;171;2;15;Dona;19;Marrons;Badalona
114;Gr10;170;1;33;Dona;18;Grisos;Esparreguera
115;Gr10;170;1;2;Home;22;Verds;Canillo
116;Gr20;181;2;25;Home;18;Marrons;Santa Perpetua de Mogoda
117;Gr20;189;2;5;Home;19;Blaus;Andorra
1;Gr30;177;2;5;Home;19;Marrons;Barcelona
2;Gr30;189;3;9;NA;NA;NA;NA
3;Gr30;169;1;1;Dona;19;Marrons;Santa Maria, Mallorca
4;Gr30;159;1;108;Dona;18;Marrons;Riudoms
5;Gr30;178;1;70;Home;18;Marrons;Montevideo
6;Gr30;179;1;2;Home;22;Blaus;London
7;Gr30;172;1;4;Home;18;Marrons;Hospitalet de Llobregat
8;Gr30;159;3;40;Dona;18;Marrons;Tona
9;Gr30;185;1;37;Home;19;Marrons;Mataró
10;Gr30;173;1;6;Home;18;Avellana;Campdevànol.
11;Gr30;NA;1;8;Dona;NA;Marrons;Barcelona
12;Gr30;173;1;15;Home;19.3;Verds;Barcelona
13;Gr30;180;1;15;Home;21;Marrons;Molins de Rei
14;Gr30;172;2;0;Dona;20;Marrons;GIRONA
15;Gr30;164;1;5;Dona;18;Marrons;Calella
16;Gr30;194;2;10;Home;19;Avellana;Barcelona
17;Gr30;170;2;12;Home;19;Marrons;Badalona
18;Gr30;179;2;5;Home;19;Marrons;Tartous
19;Gr30;187;2;7;Home;19;Marrons;Barcelona
20;Gr30;183;1;3;Home;19;Marrons;Igualada
21;Gr30;NA;NA;NA;NA;NA;NA;NA
22;Gr30;182;1;2;Home;20;Marrons;Barcelona
23;Gr30;188;4;24;Home;19;Marrons;Barcelona
24;Gr30;166;1;2;Dona;20;Marrons;Reus
25;Gr30;162;2;50;Dona;18;Marrons;Sant Martí de Tous
26;Gr30;186;1;30;Home;19;Marrons;mataró
27;Gr30;173;2;15;Home;18;Marrons;Rubí
28;Gr30;173;2;30;Home;19;Marrons;Vilassar De Mar
29;Gr30;178;0;7;Home;20;Blaus;Munich
30;Gr30;168;3;3;Dona;22;Blaus;Siegen
31;Gr30;184;2;15;Home;19;Marrons;Barcelona
32;Gr30;177;7;4;Dona;20;Marrons;Barcelona
33;Gr30;187;1;40;Home;19;Marrons;Sabadell
34;Gr30;194;2;2;Home;25;Avellana;Alicante
35;Gr30;176;1;33;Home;18;Blaus;Palau-solità i Plegamans
36;Gr30;178;1;5;NB;21;Verds;Girona
